controller,scenarios,certificate_scale,min_voltage,peak_kw,loss_kwh,violation_rate,service_completion,firm_delivery_coverage,mean_shortfall_kwh,shortfall_cvar95_kwh
BGFC,400,0.7678610443521957,0.9649913398186888,3769.9913859252574,784.3248899926092,0.0008333333333333333,0.8792228846868606,0.7425,52.18271983719604,408.06275105112144
BGFC-dynamic,400,0.7550460072565685,0.9649629921948525,3771.93697272741,784.4039306117206,0.0013541666666666665,0.882170766587927,0.7425,52.18271983719604,408.06275105112144
Nominal engineering,400,1.0,0.9655645840665424,3721.750946310921,783.1706659934827,0.000625,0.8427096722753623,0.0025,632.1736775224113,1199.0612216650609
Point bunching,400,0.8,0.9650870239744965,3763.1784054554428,784.1490810419164,0.0007291666666666666,0.8741677378202898,0.48,157.1479263274991,644.8052510588147
Robust engineering,400,0.52,0.9642287898572717,3822.534239927883,785.8536191613534,0.0013541666666666665,0.9182090295831884,0.2825,265.5843532999877,805.5394825346262
Uncontrolled,400,0.0,0.9626226817403711,3932.7665039481294,790.0553427334484,0.0029166666666666664,1.0,,0.0,0.0
