controller,min_voltage,peak_kw,loss_kwh,violation_rate,service,certificate_scale
BGFC,0.9649913398186888,3769.9913859252574,784.3248899926092,0.0008333333333333333,0.5983870681967897,0.7678610443521957
Nominal engineering,0.9655645840665424,3721.750946310921,783.1706659934827,0.000625,0.5983870681967125,1.0
Point bunching,0.9650870239744965,3763.1784054554428,784.1490810419164,0.0007291666666666666,0.5983870681967763,0.8
Robust engineering,0.9642287898572717,3822.534239927883,785.8536191613534,0.0013541666666666665,0.598387068196948,0.52
Uncontrolled,0.9626226817403711,3932.7665039481294,790.0553427334484,0.0029166666666666664,1.0,0.0
