min_voltage,peak_kw,loss_kwh,violation_rate,service,controller,scenario,ood,scale,response,base_error,ev_error,binding_constraint,committed_kwh,realized_kwh,shortfall_kwh,firm_coverage,service_completion
0.9600451248512193,4202.364653358664,896.2753158710141,0.0,1.0,Uncontrolled,0,True,0.0,0.45632859892229233,0.07724006089971738,0.07810489484229574,,0.0,0.0,0.0,,1.0
0.9624005370586488,4040.7052870969765,889.9275518195923,0.0,0.45632859892263766,Nominal engineering,0,True,1.0,0.45632859892229233,0.07724006089971738,0.07810489484229574,,1574.0869565217392,718.3008954514205,855.7860610703187,0.0,0.7721391478060126
0.961929454617163,4073.0371603493136,890.9836626018073,0.0,0.45632859892272404,Point bunching,0,True,0.8,0.45632859892229233,0.07724006089971738,0.07810489484229574,,1019.8309859154931,718.3008954514205,301.5300904640726,0.0,0.81771131824481
0.9612699391990827,4118.301782902586,892.6415090004866,0.0,0.4563285989229565,Robust engineering,0,True,0.52,0.45632859892229233,0.07724006089971738,0.07810489484229574,,1180.5652173913045,718.3008954514205,462.264321939884,0.0,0.8815123568591265
0.961853754128696,4078.2327235516495,891.1633267629209,0.0,0.45632859892274213,BGFC,0,True,0.7678610443521957,0.45632859892229233,0.07724006089971738,0.07810489484229574,,783.0884859077998,718.3008954514205,64.78759045637935,0.0,0.8250345280673436
0.9651984285251878,3696.1747819705306,705.7200927265332,0.0,1.0,Uncontrolled,1,False,0.0,0.7030407823263318,-0.035271192599681034,-0.13060829462921528,,0.0,0.0,0.0,,1.0
0.9687226962271068,3447.1149430837936,699.048982420639,0.0,0.7030407823265205,Nominal engineering,1,False,1.0,0.7030407823263318,-0.035271192599681034,-0.13060829462921528,,1574.0869565217392,1106.6473253627182,467.439631159021,0.0,0.8665473408187397
0.9681015134423692,3496.9269108611406,699.8765806672371,0.0,0.7030407823265676,Point bunching,1,False,0.8,0.7030407823263318,-0.035271192599681034,-0.13060829462921528,,1019.8309859154931,1106.6473253627182,0.0,1.0,0.8932378726549918
0.9670854337213557,3566.6636657494273,701.4607822167224,0.0,0.7030407823266946,Robust engineering,1,False,0.52,0.7030407823263318,-0.035271192599681034,-0.13060829462921528,,1180.5652173913045,1106.6473253627182,73.91789202858627,0.0,0.9306046172257447
0.9679848857956252,3504.931433976771,700.0331949471774,0.0,0.7030407823265775,BGFC,1,False,0.7678610443521957,0.7030407823263318,-0.035271192599681034,-0.13060829462921528,,783.0884859077998,1106.6473253627182,0.0,1.0,0.8975269017494999
0.9641405661578352,3741.5473924845114,700.1901985767852,0.0,1.0,Uncontrolled,2,False,0.0,0.7285750747224176,-0.05536193387393023,0.0260670442908241,,0.0,0.0,0.0,,1.0
0.9679012215914042,3483.4417529698053,692.1735556575113,0.0,0.7285750747225899,Nominal engineering,2,False,1.0,0.7285750747224176,-0.05536193387393023,0.0260670442908241,,1574.0869565217392,1146.840521967409,427.24643455433034,0.0,0.8711435134500352
0.9671490905046903,3535.062880872746,693.2327911862114,0.0,0.7285750747226332,Point bunching,2,False,0.8,0.7285750747224176,-0.05536193387393023,0.0260670442908241,,1019.8309859154931,1146.840521967409,0.0,1.0,0.8969148107600281
